A;B;shapetime;ms;gar;interval;parson
deut4415;deut4465;-0,01808426;0,3485677796;0,3123809524;0,2804878049;0,487804878
deut4415;deut4468;0,19141374;0,3735632184;0,3807051282;0,2765957447;0,5957446809
deut4415;deut4469;0,05640951;0,4159748829;0,2922222222;0,2898550725;0,5217391304
deut4415;deut4475;-0,01808426;0,0992277299;0,2360546875;0,2391304348;0,3695652174
deut4416;deut4401;0,18917049;0,420677682;0,4120833333;0,3043478261;0,3623188406
deut4416;deut4416;6,5514;1;1;1;1
deut4416;deut4424;0,67808093;0,3034003831;0,2154166667;0,2463768116;0,3623188406
deut4416;deut4438;0,15681822;0,3611523979;0,4209051724;0,3623188406;0,6086956522
deut4416;deut4439;0,47940861;0,2003225981;0,3714150943;0,3571428571;0,5714285714
deut4416;deut4443;0,12565656;0,5067648467;0,5409375;0,3188405797;0,5362318841
deut4416;deut4458;0,15106376;0,636404454;0,2119791667;0,2463768116;0,5652173913
deut4416;deut4477;0,12947686;0,5947377874;0,4745833333;0,347826087;0,5362318841
deut4416;deut4482;0,2516039;0,5045797414;0,4103125;0,3623188406;0,5797101449
deut4416;deut4495;0,29855362;0,6216774425;0,3227083333;0,3768115942;0,5217391304
deut4417;deut4417;6,5514;1;1;1;1
deut4417;deut4424;0,9483562;0,0566695819;0,1520652174;0,1666666667;0,1893939394
deut4417;deut4431;0,14847208;0,1270510578;0,3055072464;0,2121212121;0,2424242424
deut4417;deut4438;0,167635;0,4117003998;0,5239130435;0,2727272727;0,3863636364
deut4417;deut4445;0,05301304;0,0804493587;0,2965942029;0,3636363636;0,4924242424
deut4417;deut4452;-0,00462963;0,0801890721;0,226557971;0,2121212121;0,2954545455
deut4417;deut4454;-0,01190476;0,0698609029;0,1886594203;0,1893939394;0,2348484848
deut4417;deut4463;0,20348333;0,0610528069;0,2376086957;0,2878787879;0,3939393939
deut4417;deut4476;0,07536427;0,1384203731;0,3082971014;0,2575757576;0,3484848485
deut4417;deut4483;0,10264856;0,3923767283;0,5651268116;0,3484848485;0,5303030303
deut4418;deut4418;6,5514;1;1;1;1
deut4418;deut4434;-0,05790931;0,6143039591;0,4825694444;0,3255813953;0,4302325581
deut4418;deut4445;0,2499848;0,2789750958;0,3862037037;0,3947368421;0,5263157895
deut4418;deut4484;0,04591586;0,1969261581;0,4168181818;0,297029703;0,3663366337
deut4418;deut4487;-0,04021722;0,4981375053;0,5990740741;0,25;0,5454545455
deut4418;deut4488;-0,03335086;0,6069604087;0,4506481481;0,2586206897;0,4482758621
deut4418;deut4493;-0,03335086;0,6255853555;0,5192592593;0,2037037037;0,3703703704
deut4418;deut4494;-0,03335086;0,5869518944;0,5862037037;0,2413793103;0,4655172414
deut4418;deut4498;-0,03335086;0,602304172;0,4346296296;0,2413793103;0,4137931034
deut4418;deut4499;-0,02562332;0,4942528736;0,5847222222;0,25;0,5
deut4419;deut4414;0,11310633;0,5385536398;0,471;0,3015873016;0,5555555556
deut4419;deut4419;6,5514;1;1;1;1
deut4419;deut4420;5,71527146;0,9883261494;0,956125;0,9375;0,96875
deut4419;deut4424;0,18382144;0,3730603448;0,346;0,2698412698;0,3333333333
deut4419;deut4438;0,19217048;0,3005722354;0,3959051724;0,3492063492;0,5714285714
deut4419;deut4449;0,11872222;0,3710189176;0,465625;0,25;0,4333333333
deut4419;deut4450;0,05896851;0,378876317;0,4496354167;0,2909090909;0,5363636364
deut4419;deut4455;0,12990733;0,3379872564;0,4720108696;0,2857142857;0,4126984127
deut4419;deut4456;0,15554122;0,3362428161;0,267125;0,3174603175;0,4285714286
deut4419;deut4465;0,04912504;0,4408405172;0,392375;0,3292682927;0,5731707317
deut4420;deut4414;0,11310633;0,5241858238;0,48725;0,28125;0,5625
deut4420;deut4419;5,71527146;0,9883261494;0,956125;0,9375;0,96875
deut4420;deut4420;6,5514;1;1;1;1
deut4420;deut4424;0,18382144;0,3694683908;0,331875;0,265625;0,328125
deut4420;deut4438;0,19217048;0,2952833928;0,4126724138;0,34375;0,5625
deut4420;deut4449;0,11677595;0,3657806513;0,46359375;0,25;0,45
deut4420;deut4450;0,05800182;0,3755088602;0,4633854167;0,2909090909;0,5454545455
deut4420;deut4455;0,12990733;0,3317716142;0,4794021739;0,265625;0,40625
deut4420;deut4456;0,15554122;0,3362428161;0,273625;0,3125;0,421875
deut4420;deut4465;0,04831971;0,4452586207;0,381625;0,3292682927;0,5853658537
deut4421;deut4401;0,37448076;0,5492546695;0,34171875;0,28;0,52
deut4421;deut4407;0,17368555;0,3271333083;0,38625;0,2087912088;0,2747252747
deut4421;deut4421;6,5514;1;1;1;1
deut4421;deut4443;1,11306485;0,5687410201;0,33296875;0,3617021277;0,5319148936
deut4421;deut4453;0,37152701;0,5239762931;0,32765625;0,3103448276;0,5862068966
deut4421;deut4458;0,08482661;0,4833273467;0,4363541667;0,2835820896;0,3731343284
deut4421;deut4459;-0,07087526;0,2588840996;0,3189166667;0,2533333333;0,3333333333
deut4421;deut4471;0,42891515;0,4333572797;0,2896666667;0,1777777778;0,2777777778
deut4421;deut4477;0,10953639;0,5716295498;0,3546875;0,3617021277;0,4893617021
deut4421;deut4482;0,06896891;0,6148527299;0,28046875;0,2727272727;0,4772727273
deut4422;deut4409;0,04512549;0,2954665759;0,4973684211;0,296875;0,53125
deut4422;deut4416;0,07462463;0,6047353927;0,3966666667;0,2463768116;0,5072463768
deut4422;deut4422;6,5514;1;1;1;1
deut4422;deut4428;0,04952353;0,4378891284;0,4713541667;0,3;0,475
deut4422;deut4437;0,05193565;0,5289750958;0,4782291667;0,2962962963;0,5555555556
deut4422;deut4443;0,04024595;0,5134997605;0,5439583333;0,4042553191;0,6382978723
deut4422;deut4464;0,08320684;0,4527658046;0,4297916667;0,1714285714;0,5142857143
deut4422;deut4465;0,09444823;0,4493833812;0,4811458333;0,3048780488;0,4756097561
deut4422;deut4468;0,03536231;0,4678520115;0,4321180556;0,1489361702;0,5957446809
deut4422;deut4491;0,03639967;0,5536697797;0,5657291667;0,225;0,65
deut4423;deut4423;6,5514;1;1;1;1
deut4423;deut4427;0,03099906;0,1678448276;0,240725;0,3333333333;0,5476190476
deut4423;deut4442;-0,02491015;0,267341954;0,46775;0,2619047619;0,4523809524
deut4423;deut4443;0,32246613;0,261566092;0,43435;0,2857142857;0,4642857143
deut4423;deut4444;0,07179644;0,7256752874;0,33165;0,2738095238;0,5238095238
deut4423;deut4454;0,1168412;0,1806034483;0,236;0,2857142857;0,369047619
deut4423;deut4463;0,34581434;0,1591666667;0,25955;0,380952381;0,5238095238
deut4423;deut4465;0,17697094;0,2457327586;0,24635;0,3095238095;0,5238095238
deut4423;deut4477;0,34301819;0,4286350575;0,42495;0,3571428571;0,5357142857
deut4423;deut4482;0,13023829;0,270545977;0,30685;0,2976190476;0,4761904762
deut4424;deut4419;0,18382144;0,3730603448;0,346;0,2698412698;0,3333333333
deut4424;deut4420;0,18382144;0,3694683908;0,331875;0,265625;0,328125
deut4424;deut4424;6,5514;1;1;1;1
deut4424;deut4438;0,54262026;0,1317380103;0,2668965517;0,3269230769;0,4038461538
